sample,word,freq,per1000,total_words,author
7,was,1,4.975124378109452,201,satoshi
7,were,0,0,201,satoshi
7,what,0,0,201,satoshi
7,when,0,0,201,satoshi
7,where,0,0,201,satoshi
7,which,1,4.975124378109452,201,satoshi
7,while,0,0,201,satoshi
7,who,0,0,201,satoshi
7,with,1,4.975124378109452,201,satoshi
7,would,2,9.950248756218905,201,satoshi
7,you,2,9.950248756218905,201,satoshi
7,your,0,0,201,satoshi
7,yourself,0,0,201,satoshi
8,about,1,8.130081300813009,123,satoshi
8,after,2,16.260162601626018,123,satoshi
8,again,0,0,123,satoshi
8,against,0,0,123,satoshi
8,all,0,0,123,satoshi
8,and,3,24.390243902439025,123,satoshi
8,are,0,0,123,satoshi
8,been,1,8.130081300813009,123,satoshi
8,below,0,0,123,satoshi
8,between,0,0,123,satoshi
8,both,0,0,123,satoshi
8,but,0,0,123,satoshi
8,cannot,0,0,123,satoshi
8,could,1,8.130081300813009,123,satoshi
8,did,0,0,123,satoshi
8,down,0,0,123,satoshi
8,each,0,0,123,satoshi
8,few,0,0,123,satoshi
8,for,1,8.130081300813009,123,satoshi
8,from,2,16.260162601626018,123,satoshi
8,further,0,0,123,satoshi
8,had,0,0,123,satoshi
8,has,2,16.260162601626018,123,satoshi
8,have,1,8.130081300813009,123,satoshi
8,here,0,0,123,satoshi
8,him,0,0,123,satoshi
8,himself,0,0,123,satoshi
8,his,0,0,123,satoshi
8,how,1,8.130081300813009,123,satoshi
8,into,1,8.130081300813009,123,satoshi
8,itself,0,0,123,satoshi
8,more,1,8.130081300813009,123,satoshi
8,most,0,0,123,satoshi
8,myself,0,0,123,satoshi
8,not,2,16.260162601626018,123,satoshi
8,off,0,0,123,satoshi
8,other,0,0,123,satoshi
8,ought,0,0,123,satoshi
8,our,0,0,123,satoshi
8,out,0,0,123,satoshi
8,over,0,0,123,satoshi
8,own,0,0,123,satoshi
8,same,0,0,123,satoshi
8,should,0,0,123,satoshi
8,some,0,0,123,satoshi
8,such,0,0,123,satoshi
8,than,0,0,123,satoshi
8,that,1,8.130081300813009,123,satoshi
8,the,10,81.30081300813009,123,satoshi
8,their,0,0,123,satoshi
8,them,0,0,123,satoshi
8,then,0,0,123,satoshi
8,there,0,0,123,satoshi
8,these,0,0,123,satoshi
8,they,0,0,123,satoshi
8,this,1,8.130081300813009,123,satoshi
8,those,0,0,123,satoshi
8,through,1,8.130081300813009,123,satoshi
8,too,0,0,123,satoshi
8,under,0,0,123,satoshi
8,until,0,0,123,satoshi
8,was,0,0,123,satoshi
8,were,0,0,123,satoshi
8,what,0,0,123,satoshi
8,when,1,8.130081300813009,123,satoshi
8,where,1,8.130081300813009,123,satoshi
8,which,1,8.130081300813009,123,satoshi
8,while,1,8.130081300813009,123,satoshi
8,who,0,0,123,satoshi
8,with,2,16.260162601626018,123,satoshi
8,would,2,16.260162601626018,123,satoshi
8,you,3,24.390243902439025,123,satoshi
8,your,3,24.390243902439025,123,satoshi
8,yourself,0,0,123,satoshi
9,about,0,0,116,satoshi
9,after,0,0,116,satoshi
9,again,0,0,116,satoshi
9,against,0,0,116,satoshi
9,all,0,0,116,satoshi
9,and,2,17.24137931034483,116,satoshi
9,are,0,0,116,satoshi
9,been,0,0,116,satoshi
9,below,0,0,116,satoshi
9,between,0,0,116,satoshi
9,both,0,0,116,satoshi
9,but,0,0,116,satoshi
9,cannot,0,0,116,satoshi
9,could,3,25.862068965517246,116,satoshi
9,did,0,0,116,satoshi
9,down,0,0,116,satoshi
9,each,1,8.620689655172415,116,satoshi
9,few,1,8.620689655172415,116,satoshi
9,for,2,17.24137931034483,116,satoshi
9,from,1,8.620689655172415,116,satoshi
9,further,0,0,116,satoshi
9,had,0,0,116,satoshi
9,has,0,0,116,satoshi
9,have,1,8.620689655172415,116,satoshi
9,here,0,0,116,satoshi
9,him,0,0,116,satoshi
9,himself,0,0,116,satoshi
9,his,0,0,116,satoshi
9,how,0,0,116,satoshi
9,into,0,0,116,satoshi
9,itself,0,0,116,satoshi
9,more,2,17.24137931034483,116,satoshi
9,most,0,0,116,satoshi
9,myself,0,0,116,satoshi
9,not,0,0,116,satoshi
9,off,0,0,116,satoshi
9,other,0,0,116,satoshi
9,ought,0,0,116,satoshi
9,our,0,0,116,satoshi
9,out,0,0,116,satoshi
9,over,2,17.24137931034483,116,satoshi
9,own,0,0,116,satoshi
9,same,0,0,116,satoshi
9,should,1,8.620689655172415,116,satoshi
9,some,0,0,116,satoshi
9,such,0,0,116,satoshi
9,than,1,8.620689655172415,116,satoshi
9,that,4,34.48275862068966,116,satoshi
9,the,8,68.96551724137932,116,satoshi
9,their,0,0,116,satoshi
9,them,0,0,116,satoshi
9,then,0,0,116,satoshi
9,there,0,0,116,satoshi
9,these,0,0,116,satoshi
9,they,0,0,116,satoshi
9,this,0,0,116,satoshi
9,those,0,0,116,satoshi
9,through,0,0,116,satoshi
9,too,0,0,116,satoshi
9,under,0,0,116,satoshi
9,until,0,0,116,satoshi
9,was,0,0,116,satoshi
9,were,0,0,116,satoshi
9,what,0,0,116,satoshi
9,when,0,0,116,satoshi
9,where,0,0,116,satoshi
9,which,0,0,116,satoshi
9,while,1,8.620689655172415,116,satoshi
9,who,0,0,116,satoshi
9,with,1,8.620689655172415,116,satoshi
9,would,1,8.620689655172415,116,satoshi
9,you,1,8.620689655172415,116,satoshi
9,your,2,17.24137931034483,116,satoshi
9,yourself,0,0,116,satoshi
10,about,0,0,311,satoshi
10,after,3,9.646302250803858,311,satoshi
10,again,0,0,311,satoshi
10,against,0,0,311,satoshi
10,all,2,6.430868167202572,311,satoshi
10,and,9,28.938906752411576,311,satoshi
10,are,0,0,311,satoshi
10,been,0,0,311,satoshi
10,below,0,0,311,satoshi
10,between,3,9.646302250803858,311,satoshi
10,both,0,0,311,satoshi
10,but,0,0,311,satoshi
10,cannot,0,0,311,satoshi
10,could,0,0,311,satoshi
10,did,0,0,311,satoshi
10,down,1,3.215434083601286,311,satoshi
10,each,0,0,311,satoshi
10,few,0,0,311,satoshi
10,for,3,9.646302250803858,311,satoshi
10,from,2,6.430868167202572,311,satoshi
10,further,0,0,311,satoshi
10,had,0,0,311,satoshi
10,has,1,3.215434083601286,311,satoshi
10,have,4,12.861736334405144,311,satoshi
10,here,0,0,311,satoshi
10,him,0,0,311,satoshi
10,himself,0,0,311,satoshi
10,his,0,0,311,satoshi
10,how,0,0,311,satoshi
